fecha,hora,cliente,tipo,monto
2025-06-01,11:32,Ana,egreso,43547.57
2025-06-01,17:45,Juan,transferencia,47084.4
2025-06-01,18:23,Ana,transferencia,14484.09
2025-06-01,8:41,Pablo,ingreso,33740.3
2025-06-01,18:30,Juan,egreso,85567.38
2025-06-01,9:31,Pablo,ingreso,40619.03
2025-06-01,18:14,Laura,egreso,35376.12
2025-06-01,17:24,Juan,transferencia,31557.51
2025-06-01,16:32,Juan,ingreso,62093.65
2025-06-01,16:05,Cecilia,transferencia,91452.49
2025-06-01,10:55,Pablo,egreso,21780.52
2025-06-01,11:56,Juan,egreso,92810.73
2025-06-01,18:46,Jose,transferencia,55184.04
2025-06-01,14:58,Cecilia,egreso,16126.77
2025-06-01,12:28,Cecilia,transferencia,46049.78
2025-06-01,18:57,Laura,egreso,71307.54
2025-06-01,13:25,Jose,transferencia,53335.32
2025-06-01,14:43,Cecilia,egreso,7046.93
2025-06-01,15:50,Cecilia,transferencia,10716.25
2025-06-01,11:10,Jose,inversion,92614.55
2025-06-01,17:35,Laura,inversion,10668.86
2025-06-01,10:20,Jose,inversion,81793.86
2025-06-01,10:36,Pablo,inversion,44660.2
2025-06-01,18:36,Laura,egreso,48374.76
2025-06-01,17:37,Juan,ingreso,12525.27
2025-06-01,18:24,Juan,ingreso,87131.72
2025-06-01,18:15,Jose,inversion,3767.14
2025-06-01,15:55,Jose,ingreso,17107.72
2025-06-01,18:16,Cecilia,inversion,81298.29
2025-06-01,17:00,Ana,inversion,24804.1
2025-06-01,9:50,Laura,transferencia,27814.2
2025-06-01,13:47,Pablo,ingreso,95542.24
2025-06-01,13:18,Laura,transferencia,10023.01
2025-06-01,18:54,Cecilia,egreso,31790.54
2025-06-01,13:27,Ana,ingreso,95110.38
2025-06-01,9:04,Pablo,ingreso,61833.12
2025-06-01,16:17,Jose,egreso,11979.94
2025-06-01,10:49,Juan,egreso,44030.85
2025-06-01,13:08,Juan,ingreso,69182.34
2025-06-01,9:57,Juan,transferencia,29554.04
2025-06-01,9:02,Juan,transferencia,62180.52
2025-06-01,12:59,Ana,ingreso,77090.85
2025-06-01,8:08,Juan,egreso,18808.43
2025-06-01,10:56,Ana,ingreso,76234.75
2025-06-01,14:42,Pablo,transferencia,33371.01
2025-06-01,10:18,Pablo,ingreso,3763.85
2025-06-01,8:39,Jose,ingreso,68544.39
2025-06-01,8:10,Jose,inversion,20789.89
2025-06-01,10:09,Cecilia,ingreso,54337.03
2025-06-01,15:11,Laura,inversion,50445.34
2025-06-01,17:11,Juan,ingreso,27455.4
2025-06-01,9:27,Ana,inversion,98335.21
2025-06-01,15:57,Juan,egreso,84403.98
2025-06-01,12:07,Pablo,inversion,68641.63
2025-06-01,11:41,Cecilia,egreso,12237.79
2025-06-01,8:31,Pablo,egreso,46659.55
2025-06-01,10:06,Cecilia,ingreso,92263.48
2025-06-01,17:07,Cecilia,inversion,9665.49
2025-06-01,10:02,Ana,transferencia,13431.81
2025-06-01,14:21,Juan,egreso,60640.88
2025-06-01,15:25,Ana,inversion,86787.66
2025-06-01,17:16,Ana,ingreso,70651.62
2025-06-01,17:48,Pablo,egreso,79093.89
2025-06-01,18:53,Pablo,inversion,69347.35
2025-06-01,9:49,Juan,inversion,94194.99
2025-06-01,9:30,Ana,ingreso,95740.75
2025-06-01,8:39,Cecilia,egreso,52272.67
2025-06-01,12:56,Jose,inversion,46460.75
2025-06-01,13:27,Ana,ingreso,31275.64
2025-06-01,9:57,Ana,inversion,26205.25
2025-06-01,12:02,Cecilia,egreso,5700.69
2025-06-01,14:15,Jose,inversion,76217.24
2025-06-01,14:02,Laura,ingreso,15784.75
2025-06-01,17:58,Juan,inversion,19345.71
2025-06-01,18:27,Cecilia,transferencia,68800.76
2025-06-01,10:00,Juan,inversion,81867.4
2025-06-01,15:54,Laura,egreso,79411.2
2025-06-01,10:59,Laura,ingreso,81776.39
2025-06-01,11:09,Ana,inversion,81541.2
2025-06-01,18:04,Pablo,egreso,44561.49
2025-06-01,11:36,Juan,egreso,19885.85
2025-06-01,10:57,Ana,transferencia,29605.74
2025-06-01,13:52,Laura,inversion,45189.31
2025-06-01,15:13,Ana,egreso,48631.29
2025-06-01,18:09,Pablo,ingreso,74195.67
2025-06-01,8:34,Pablo,transferencia,54442.96
2025-06-01,8:36,Pablo,egreso,20352.94
2025-06-01,12:17,Ana,egreso,83047.44
2025-06-01,8:37,Ana,transferencia,17882.9
2025-06-01,11:49,Cecilia,inversion,85072.77
2025-06-01,14:15,Jose,egreso,64234.74
2025-06-01,13:53,Ana,ingreso,66301.47
2025-06-01,17:03,Juan,egreso,45331.55
2025-06-01,17:06,Ana,ingreso,22119.69
2025-06-01,14:40,Jose,ingreso,10459.02
2025-06-01,18:54,Pablo,inversion,11904.77
2025-06-01,14:51,Pablo,inversion,93002.18
2025-06-01,18:32,Jose,transferencia,73915.12
2025-06-01,10:07,Laura,transferencia,65444.18
2025-06-01,17:29,Jose,ingreso,97851.76
